"","FIPS","City","Year","Population","Primary.Point","Date"
"17015",1978060,"Tiffin","July 01 2002",1430,"POINT (-91.658392 41.7067521)",2002-07-01
"17016",1987375,"Yetter","July 01 2017",32,"POINT (-94.8431642 42.3161325)",2017-07-01
"17017",1946605,"Lost Nation","July 01 2001",489,"POINT (-90.8167168 41.9665989)",2001-07-01
"17018",1950385,"Matlock","July 01 2014",90,"POINT (-95.9345034 43.2443282)",2014-07-01
"17019",1902845,"Arlington","July 01 2002",481,"POINT (-91.6710476 42.7487868)",2002-07-01
"17020",1969105,"Royal","July 01 2005",429,"POINT (-95.283721 43.0644413)",2005-07-01
"17021",1971310,"Scranton","July 01 1991",601,"POINT (-94.5490547 42.0190882)",1991-07-01
"17022",1934860,"Harvey","July 01 1992",238,"POINT (-92.922688 41.3179424)",1992-07-01
"17023",1923430,"Earlville","July 01 2013",798,"POINT (-91.2701068 42.4827545)",2013-07-01
"17024",1903610,"Auburn","July 01 2012",316,"POINT (-94.8777258 42.2495688)",2012-07-01
"17025",1946155,"Logan","April 01 2010",1534,"POINT (-95.7916479 41.64514)",2010-04-01
"17026",1963075,"Pisgah","July 01 2006",307,"POINT (-95.9263861 41.8304354)",2006-07-01
"17027",1975180,"Steamboat Rock","July 01 1997",323,"POINT (-93.0665057 42.4081346)",1997-07-01
"17028",1903745,"Aurelia","July 01 1995",1019,"POINT (-95.4368477 42.7130665)",1995-07-01
"17029",1911215,"Carter Lake","July 01 2018",3796,"POINT (-95.9169331 41.2884608)",2018-07-01
"17030",1928290,"Fontanelle","April 01 2010",672,"POINT (-94.5600489 41.2900061)",2010-04-01
"17031",1982650,"Waucoma","July 01 1991",387,"POINT (-92.0341066 43.0554679)",1991-07-01
"17032",1918075,"Dakota City","July 01 1994",1031,"POINT (-94.1976919 42.7229033)",1994-07-01
"17033",1973155,"Silver City","July 01 2014",238,"POINT (-95.6378733 41.1113884)",2014-07-01
"17034",1955110,"Muscatine","July 01 2004",22311,"POINT (-91.0680884 41.4194742)",2004-07-01
"17035",1909685,"Burt","July 01 2008",491,"POINT (-94.2210539 43.1989094)",2008-07-01
"17036",1919630,"Delaware","April 01 2000",188,"POINT (-91.339042 42.4712845)",2000-04-01
"17037",1959115,"Onawa","July 01 2009",2705,"POINT (-96.0905046 42.0267577)",2009-07-01
"17038",1921045,"De Soto","July 01 2011",1076,"POINT (-94.009715 41.5363839)",2011-07-01
"17039",1943905,"Lawton","July 01 2007",762,"POINT (-96.1851089 42.4769168)",2007-07-01
"17040",1914925,"Coggon","July 01 2011",670,"POINT (-91.5303669 42.2783061)",2011-07-01
"17041",1926265,"Exira","July 01 1997",889,"POINT (-94.8810861 41.5919759)",1997-07-01
"17042",1908875,"Brunsville","July 01 1999",164,"POINT (-96.2667032 42.8109608)",1999-07-01
"17043",1952275,"Millerton","July 01 1992",44,"POINT (-93.3057058 40.8493458)",1992-07-01
"17044",1959565,"Orient","April 01 2010",408,"POINT (-94.4178978 41.2032884)",2010-04-01
"17045",1937920,"Huxley","April 01 2000",2316,"POINT (-93.5913007 41.8960875)",2000-04-01
"17046",1974370,"Spillville","July 01 2011",368,"POINT (-91.9520776 43.2031266)",2011-07-01
"17047",1975045,"Stanwood","July 01 2012",673,"POINT (-91.1487706 41.8930402)",2012-07-01
"17048",1924645,"Elgin","July 01 1997",607,"POINT (-91.6355924 42.9553694)",1997-07-01
"17049",1943005,"Lamont","July 01 2017",458,"POINT (-91.6404271 42.5985649)",2017-07-01
"17050",1943005,"Lamont","July 01 1998",445,"POINT (-91.6404271 42.5985649)",1998-07-01
"17051",1933465,"Guttenberg","July 01 2009",1879,"POINT (-91.1059046 42.7887133)",2009-07-01
"17052",1977340,"Templeton","April 01 2000",334,"POINT (-94.9415676 41.9181145)",2000-04-01
"17053",1934545,"Harper","July 01 2005",118,"POINT (-92.0509513 41.3636709)",2005-07-01
"17054",1962355,"Perry","July 01 2005",9043,"POINT (-94.09406 41.8379964)",2005-07-01
"17055",1917895,"Curlew","July 01 2009",56,"POINT (-94.7377341 42.9795272)",2009-07-01
"17056",1981975,"Wallingford","July 01 2005",196,"POINT (-94.7924275 43.3201552)",2005-07-01
"17057",1949305,"Marble Rock","July 01 2019",287,"POINT (-92.8683374 42.9647201)",2019-07-01
"17058",1943815,"Lawler","April 01 2010",439,"POINT (-92.153525 43.0717656)",2010-04-01
"17059",1904870,"Battle Creek","July 01 1998",772,"POINT (-95.6002651 42.3168556)",1998-07-01
"17060",1913125,"Chester","July 01 2002",147,"POINT (-92.3639508 43.4918437)",2002-07-01
"17061",1922215,"Dow City","July 01 2014",508,"POINT (-95.4943457 41.9279982)",2014-07-01
"17062",1973425,"Sioux Rapids","April 01 2000",720,"POINT (-95.1487935 42.891608)",2000-04-01
"17063",1953670,"Montour","April 01 2010",249,"POINT (-92.7149939 41.9802608)",2010-04-01
"17064",1955200,"Mystic","July 01 2011",423,"POINT (-92.9446124 40.7791816)",2011-07-01
"17065",1922890,"Dunlap","July 01 2002",1105,"POINT (-95.6005625 41.8526254)",2002-07-01
"17066",1925500,"Emerson","July 01 1997",478,"POINT (-95.4027422 41.018044)",1997-07-01
"17067",1948045,"McIntire","April 01 2000",173,"POINT (-92.5936847 43.4359606)",2000-04-01
"17068",1952995,"Modale","July 01 2002",298,"POINT (-96.0120201 41.6181928)",2002-07-01
"17069",1937290,"Hospers","July 01 2002",669,"POINT (-95.903694 43.0725353)",2002-07-01
"17070",1976665,"Swan","July 01 2015",73,"POINT (-93.3095681 41.4674984)",2015-07-01
"17071",1979680,"Unionville","July 01 1996",132,"POINT (-92.6957756 40.8181841)",1996-07-01
"17072",1970230,"Salem","April 01 1990",453,"POINT (-91.6206406 40.8519773)",1990-04-01
"17073",1932565,"Gray","July 01 2016",59,"POINT (-94.985948 41.8418311)",2016-07-01
"17074",1954480,"Mount Ayr","July 01 1999",1665,"POINT (-94.2376587 40.7141372)",1999-07-01
"17075",1972840,"Shueyville","July 01 2018",661,"POINT (-91.6521789 41.8465835)",2018-07-01
"17076",1938100,"Independence","April 01 2010",5966,"POINT (-91.9029773 42.4621659)",2010-04-01
"17077",1905905,"Benton","July 01 1991",40,"POINT (-94.3611955 40.704075)",1991-07-01
"17078",1961365,"Panorama Park","April 01 2000",111,"POINT (-90.4536976 41.5556125)",2000-04-01
"17079",1944985,"Libertyville","July 01 2007",311,"POINT (-92.0501957 40.9582432)",2007-07-01
"17080",1980400,"Van Horne","July 01 2019",656,"POINT (-92.0894145 42.009549)",2019-07-01
"17081",1911755,"Cedar Falls","April 01 1990",34298,"POINT (-92.4532603 42.5196928)",1990-04-01
"17082",1941790,"Knierim","July 01 1999",63,"POINT (-94.4559372 42.4561397)",1999-07-01
"17083",1949935,"Martinsburg","April 01 2000",126,"POINT (-92.2519181 41.1786664)",2000-04-01
"17084",1931575,"Goodell","April 01 2010",139,"POINT (-93.614062 42.9237297)",2010-04-01
